update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
239,133.94979858398438,0.0,130.76,0.0,-0.0008984695887193084,310.731237411499,0.7957814782857895,15
240,145.2038116455078,0.0,141.72,0.0,-0.0036371033638715744,355.9188766479492,0.7870785817503929,15
241,149.0458221435547,0.0,142.56,0.0,-0.005941638839431107,320.33600997924805,0.8002751916646957,15
242,138.12684631347656,0.0,133.16,0.0,-0.004316338803619146,282.92912673950195,0.7977031245827675,15
243,126.18388366699219,0.0,123.64,0.0,-0.001131671480834484,312.7746124267578,0.8356436565518379,15
244,118.7658920288086,0.0,114.12,0.0,-0.0006863221642561257,278.7780303955078,0.8462742567062378,15
245,116.46484375,0.0,115.16,0.0,-0.00031588145066052675,456.92313385009766,0.8741149455308914,15
246,129.89382934570312,0.0,126.12,0.0,-0.0031130644492805004,340.63569831848145,0.8390477001667023,15
247,141.97279357910156,0.0,137.08,0.0,-0.0039560438599437475,302.04186820983887,0.8149295225739479,15
248,145.99081420898438,0.0,138.56,0.0,0.00016134651377797127,290.6501293182373,0.8073030263185501,15
249,133.2328643798828,0.0,129.8,0.0,-0.0002151750959455967,241.91041564941406,0.8228886350989342,15
250,117.57990264892578,0.0,120.28,0.0,-0.004510636907070875,271.3546829223633,0.8512125909328461,15
251,106.17692565917969,0.0,110.76,0.0,-0.0016021225601434708,255.71887397766113,0.8924769461154938,15
252,102.43889617919922,0.0,110.52,0.0,-0.001247952925041318,449.49073791503906,0.9212577790021896,15
253,115.432861328125,0.0,121.48,0.0,-0.0014870441518723965,270.84391021728516,0.9202584251761436,15
254,128.15184020996094,0.0,132.44,0.0,-0.0019009667448699474,292.35097312927246,0.8795479014515877,15
255,137.61082458496094,0.0,143.4,0.0,0.010756883770227432,299.7305030822754,0.8877657726407051,15
256,142.01983642578125,0.0,144.32,0.0,-0.0007055654423311353,285.6373481750488,0.939547173678875,15
257,130.79786682128906,0.0,135.0,0.0,-0.002915843389928341,265.3106327056885,0.9564070105552673,15
258,118.92989349365234,0.0,125.48,0.0,-0.0017592502408660948,252.26004028320312,0.9470946192741394,15
259,107.07190704345703,0.0,115.96,0.0,-0.0022001643665134907,210.04498863220215,0.9372314885258675,15
260,108.63688659667969,0.0,116.84,0.0,-0.0026310724206268787,379.85939025878906,0.9208755046129227,15
261,121.79583740234375,0.0,127.8,0.0,-0.00033905357122421265,301.8951988220215,0.8763890340924263,15
262,135.16983032226562,0.0,138.76,0.0,-0.0005860123783349991,325.1281089782715,0.9101075455546379,15
263,140.15982055664062,0.0,140.32,0.0,-0.0004910473944619298,297.2717056274414,0.9352885186672211,15
264,131.64385986328125,0.0,131.64,0.0,-0.0027198661118745804,342.7401351928711,0.9359197467565536,15
265,118.0259017944336,0.0,122.12,0.0,0.004863199428655207,298.4705867767334,0.9716472327709198,15
266,107.56291198730469,0.0,112.6,0.0,-0.001974269951460883,211.98607444763184,0.9670195132493973,15
267,106.74085998535156,0.0,112.2,0.0,-7.958756759762764e-05,580.8835220336914,0.9394602030515671,15
